Comments,Cleaned_Comments,Translated_Comments
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=357"">05:57</a> Yara andha payaan?",a href yara andha payaan,a small href Anta Payo
Wild 🔥,wild,Wild
Utter waste movie,utter waste movie,Utter Waste Movie
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=353"">5:53</a> Thalapathy Vijay Thaaka Pattaaraa 😂",a href thalapathy vijay thaaka pattaaraa,a href thalapathy vijay thaaka pattara
"I want to nominate him has best comedy reviewer of Movie 😂😂😂😂😂 His have separate fan base,",i want to nominate him has best comedy reviewer of movie his have separate fan base,i want to nominate him has best comedy reviewer of movie his have separate fan base
"நீ என்ன சொன்னாலும், படம் சூப்பர். ஆனா சூப்பர்ன்னு சொல்லிட்ட தல",ந எனன சனனலம படம சபபர ஆன சபபரனன சலலடட தல,Sabarana Salada head of the film.
தளபதி தாக்கப்பட்டார் 😢,தளபத தககபபடடர,Commander
புஷ்பா புருஷன் 😂😂😂😂,பஷப பரஷன,Pashabha Parashana
"This review can be charges for Spoiler , Thantha is telling the story ...Producer can file case against This Thantha",this review can be charges for spoiler thantha is telling the story producer can file case against this thantha,this review can be charges for spoiler thantha is telling the story producer can file case against this thantha
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=428"">7:08</a> movie review<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",a href movie reviewa hrefuckszuwhgymbdvujgksifylzfolmakanydqaga,The Href Movie Reviewa Hrefuckszuckszuwhgymbdvujgksfolzfolmakanydqaga
DSP : கங்குவா-ல பத்திரக்கடை <br><br>புஷ்பா 2 : Wild fire💥🔥 <br>But<br><br><br><br><br><br>கங்குவா also fire albem,dsp கஙகவல பததரககட brbrபஷப wild fire brbutbrbrbrbrbrbrகஙகவ also fire albem,dsp கஙகவல பததரககட Brbr பஷப Wild Four Brbutbrbrbrbrbrbr
Yo enya rempa late pantra,yo enya rempa late pantra,I ENY REMPA LATE PANTRA
Unakku vayiru soothu ellaam eriyum,unakku vayiru soothu ellaam eriyum,Unonaku Vayiru Soothu Ellam Eriyum
Samsung ultra s24 ரசிகர் சங்கம் சார்பாக வாழ்த்துக்கள்😂,samsung ultra s ரசகர சஙகம சரபக வழததககள,Samsung Ultra s
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=94"">1:34</a> <a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=87"">1:27</a>",a href a href,and href and href
மீசைக்கு டை அடிக்காதோர் சங்கம் சார்பாக படம் வெற்றி பெற வாழ்த்துக்கள் 🤭🤣😂🤣🍌,மசகக ட அடககதர சஙகம சரபக படம வறற பற வழததககள,Flower Flowers
The actor needs to be arrested for his irresponsible behaviour leading to a woman&#39;s death at the theatre...have some commonsense people... cinema isnt life....,the actor needs to be arrested for his irresponsible behaviour leading to a womans death at the theatrehave some commonsense people cinema isnt life,the actor needs to be arrested for his irresponsible behaviour leading to a womans death at the theatrehave some commonsense people cinema isnt life
புஷ்பா ஃபயர் இல்ல பொண்டாட்டி தாசன்.,பஷப ஃபயர இலல பணடடட தசன,Pashabha Fair
Thalaiva first off OK nu sonathe Padam oru alavuku,thalaiva first off ok nu sonathe padam oru alavuku,thalaiva first off ok nu sonathe padam oru alavuku
மொத்த விமர்சனத்தையும் தொகுத்து பார்த்தால் படம் பிரம்மாண்டமான பொழுது போக்கு படம் என்றே சான்றிதழ் கிடைத்துள்ளது !,மதத வமரசனததயம தகதத பரததல படம பரமமணடமன பழத பகக படம எனற சனறதழ கடததளளத,Religion
"Noww., pallu vilakitu irunden na, villan per ah sonnadum., thuppiten 😂😂😂😂.. aniyayam panreye ya",noww pallu vilakitu irunden na villan per ah sonnadum thuppiten aniyayam panreye ya,Noww Pallu Vilakitu Irunden Na Villan per Ah Sonnadum Thuppiten Aniyayam Panreye
"மிக அருமையான விமர்சனம்,,💐👌",மக அரமயன வமரசனம,The Great Aramaya Vamarasanama
புஷ்பா படம் சுமார் . பார்க்கலாம்,பஷப படம சமர பரககலம,Pashabha film Samara Paragalama
இவன் ஒரு சரியான கேன p🌹 ட இவன் பேச்ச kekkathinga,இவன ஒர சரயன கன p ட இவன பசச kekkathinga,This is one of the most important things
Thalaiva ni vathuttiya Pushpa 3 maran,thalaiva ni vathuttiya pushpa maran,Thalaiva ni vathuttiya pushpa maran
Waiting for Vidaamuyarchi review 😂,waiting for vidaamuyarchi review,waiting for vidaamuyarchi review
Yaaru soona pushpa 1 odichu nu? 😂 Only songs hit....padam flop aayidich.,yaaru soona pushpa odichu nu only songs hitpadam flop aayidich,yaaru soona pushpa odichu nu only songs hitpadam flop aayidich
I watch his review before watching a movie. He is the best storyteller.,i watch his review before watching a movie he is the best storyteller,i watch his review before watching a movie he is the best storyteller
Movie masss 🎉allu arjun Roked,movie masss allu arjun roked,MOVIE MASSSS Allu Arjun Rocked
Idhu pudhusa iruku ne😂,idhu pudhusa iruku ne,Idhu Pudhusa Iruku we
42 days,days,days
"கதை நல்லா இருந்தா படம் ஓடும் அப்படினு ஒன்னு கிடையவே கிடையாது, இவனுக காலி பண்ணனும்னு காசு வாங்கிட்டு கும்பலா இறங்கி வேல பாத்தாங்கன்னா, மொக்க படத்தையும் ஓட வச்சுருவானுங்க.",கத நலல இரநத படம ஓடம அபபடன ஒனன கடயவ கடயத இவனக கல பணணனமன கச வஙகடட கமபல இறஙக வல பததஙகனன மகக படததயம ஓட வசசரவனஙக,கத நலல இரநத படம ஓடம அபபடன ஒனன கடயவ கடயத இவனக கல பணணனமன கச வஙகடட கமபல இறஙக வல பததஙகனன மகக படததயம ஓட வசசரவனஙக
I am waiting  Sir,i am waiting sir,I AM Waiting Sir
ஜப்பான் மொழியில் ரிவ்யூ சொல்வது போல் கனவு வந்துச்சு.😂,ஜபபன மழயல ரவய சலவத பல கனவ வநதசச,Japana Raina Ravaya Salavatha many dreams
Nagative teknic for your video good idea🎉 money by add&amp; video good idea.,nagative teknic for your video good idea money by addamp video good idea,nagative teknic for your video good idea money by addamp video good idea
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=334"">05:34</a> ULTIMATE 😂",a href ultimate,a Href Ultimate
"நாம எப்பிடி பேசினாலும் சரி, படம் கண்டிப்பாக ஹிட் அடிக்க போவுது . ஏன்னா புஷ்பா 1 க்கு உங்கள் விமர்சனம் இதைவிட கலாய்ப்பு  ஆனால் படம் சூப்பர் ஹிட் இதுவும் அதேதான்.",நம எபபட பசனலம சர படம கணடபபக ஹட அடகக பவத ஏனன பஷப கக உஙகள வமரசனம இதவட கலயபப ஆனல படம சபபர ஹட இதவம அததன,This is the first time we have been able to do this.
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=442"">07:22</a> மொத்த படம் பார்த்த அப்ரோம், என் இந்த் படம் பார்த்தோம் நு தோணும் 😅😂",a href மதத படம பரதத அபரம என இநத படம பரததம ந தணம,A href religious film
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=49"">0:49</a>",a href,and href
உங்களை தாண்டி ஒரு படம் மேல வருதுன்னா அது உண்மையாக பெரிய படம்தான் 😅,உஙகள தணட ஒர படம மல வரதனன அத உணமயக பரய படமதன,One of the most important things to do
😂😂😂😂😂😂😂😂😂,,
"<a href=""https://www.youtube.com/watch?v=MDeOZdbSBCU&amp;t=340"">5:40</a> shoulder side vangichaa 😂",a href shoulder side vangichaa,a href shoulder side vangichaa
5.50 tamil heros thakapaatarngal,tamil heros thakapaatarngal,Tamil Heros Thakapaatarngal
வாய் கூட கொப்பளிக்காமல் விமர்சனம் பாக்குறவங்க லைக் போடுங்க,வய கட கபபளககமல வமரசனம பககறவஙக லக படஙக,The World Wide Web Site
