Comments,Cleaned_Comments,Translated_Comments,Fully_Cleaned_Comments,Sentiment
Sir விசிப்ரா  movie review pannuga,sir வசபர movie review pannuga,Sir வசபர Movie Review Pannuga,Sir Movie Review Pannuga,Neutral
😂😂,,,,Neutral
Good review sir 🌹,good review sir,good review sir,good review sir,Positive
வில்லன் யார் தெரியுமா ஜகபதிபாபு😂😂,வலலன யர தரயம ஜகபதபப,Valana Yaramalama Jagapatapaba,Valana Yaramalama Jagapatapaba,Neutral
Longest review in recent times.,longest review in recent times,longest review in recent times,longest review in recent times,Neutral
Pungsa 2😂,pungsa,Pungsa,Pungsa,Neutral
😂😂😂😂,,,,Neutral
Pushpa purusha 😂🔥🤪🤪🤪,pushpa purusha,Pushpa Purusha,Pushpa Purusha,Neutral
உனக்கு ஒரு சாவு வரமாட்டேங்குது டா 🤣,உனகக ஒர சவ வரமடடஙகத ட,You can come up with a funeral,You can come up with a funeral,Neutral
😂😂😂😂,,,,Neutral
பொழுது போகாத மக்கள் நிறைய இருக்காங்க.அதை நம்பி தான் சினிமா இன்டஸ்டரியே இருக்குது..,பழத பகத மககள நறய இரககஙகஅத நமப தன சனம இனடஸடரய இரககத,Antique Bhagatha Magnificent,Antique Bhagatha Magnificent,Positive
ஜப்பான்காரன் தெலுங்குல பேசுறான்-தெலுங்குகாரன் ஜாப்பனீஸ்ல பேசிட்டு இருக்கான்....🤣🤣🤣🤣🤣🤣,ஜபபனகரன தலஙகல பசறனதலஙககரன ஜபபனஸல பசடட இரககன,ஜபபனகரன தலஙகல பசறனதலஙககரன ஜபபனஸல பசடட இரககன,,Neutral
உன்னோட விமர்சணம் போட்ட எட்டுமணி நேரத்துல மூன்றுலட்சத்திற்க்கும் மேல பார்வையாளர்கள் பார்த்துள்ளார்கள்....நீ ஜெயிச்சிகிட்டே இருக்க மாறா...நீ ஒரு ஆளு இல்லைன்னா.....இன்னும் மோசமா படம் எடுப்பானுங்க....,உனனட வமரசணம படட எடடமண நரததல மனறலடசததறககம மல பரவயளரகள பரததளளரகளந ஜயசசகடட இரகக மறந ஒர ஆள இலலனனஇனனம மசம படம எடபபனஙக,You are a person who is a person who is a person who is a person who has been able to do so.,You are a person who is a person who is a person who is a person who has been able to do so,Positive
Paravala positive review than,paravala positive review than,paravala positive review than,paravala positive review than,Positive
Pushpa purushan 😂,pushpa purushan,Pushpa Purushan,Pushpa Purushan,Neutral
Yesterday searching guys assemble😂,yesterday searching guys assemble,yesterday searching guys assemble,yesterday searching guys assemble,Neutral
Motha padathaiyum shoulder la thaangi  shoulder side vangiruchi othikittutha aganum 😂😂😂,motha padathaiyum shoulder la thaangi shoulder side vangiruchi othikittutha aganum,motha padathaiyum shoulder la thaangi shoulder side vangiruchi othikittutha aganum,motha padathaiyum shoulder la thaangi shoulder side vangiruchi othikittutha aganum,Neutral
"மொத்த, கதையும் ஹீரோ தாங்கி, தாங்கி கழுத்து &quot;சைடு&quot; வாங்கிருச்சு 😂",மதத கதயம ஹர தஙக தஙக கழதத quotசடquot வஙகரசச,Quot Quot Quot Quot,Quot Quot Quot Quot,Neutral
Matha movie kku review compare panra appo intha movie evlo vo paravala nu thonuthu 😂 Rashmika mind voice enna nammala pathi onnume sollala 😂,matha movie kku review compare panra appo intha movie evlo vo paravala nu thonuthu rashmika mind voice enna nammala pathi onnume sollala,matha movie kku review appears panra apo intha movie evil vol vovala nu thonuthu rashmika mind voice enna nammala pathi omnume,matha movie kku review appears panra apo intha movie evil vol vovala nu thonuthu rashmika mind voice enna nammala pathi omnume,Negative
Vanduttangala vanga vangaaaaa😂😂😂😂,vanduttangala vanga vangaaaaa,Vanduttangala Vanga Vangaaaaa,Vanduttangala Vanga Vangaaaaa,Neutral
This guy review for advertisement or otherwise he don&#39;t how to review movie<br>1. How was acting of hero and heroine ?<br> 2. How is camera work ?<br>3. Movie enterainment people ?<br>4. Talk about music ?<br>5. produce value ?<br>6. People are not seeing message movie if you see the post like shankar movie last 4 years<br>6. normal you don&#39;t telugu dub movie why are done review?<br>7. If you don&#39;t please learn from other youtube channel like  prasanth and balu <br>8. you can do pushpa 3 if you want 12 tamil people died in 2015 in redsandal case tirupati near chandragiri please check and write movie,this guy review for advertisement or otherwise he dont how to review moviebr how was acting of hero and heroine br how is camera work br movie enterainment people br talk about music br produce value br people are not seeing message movie if you see the post like shankar movie last yearsbr normal you dont telugu dub movie why are done reviewbr if you dont please learn from other youtube channel like prasanth and balu br you can do pushpa if you want tamil people died in in redsandal case tirupati near chandragiri please check and write movie,this guy review for advertisement or otherwise he dont how to review moviebr how was acting of hero and heroine br how is camera work br movie enterainment people br talk about music br produce value br people are not seeing message movie if you see the post like shankar movie last yearsbr normal you dont telugu dub movie why are done reviewbr if you dont please learn from other youtube channel like prasanth and balu br you can do pushpa if you want tamil people died in in redsandal case tirupati near chandragiri please check and write movie,this guy review for advertisement or otherwise he dont how to review moviebr how was acting of hero and heroine br how is camera work br movie enterainment people br talk about music br produce value br people are not seeing message movie if you see the post like shankar movie last yearsbr normal you dont telugu dub movie why are done reviewbr if you dont please learn from other youtube channel like prasanth and balu br you can do pushpa if you want tamil people died in in redsandal case tirupati near chandragiri please check and write movie,Positive
Ultimate 6.50 - 7.00 🤣🤣🤣,ultimate,last,last,Neutral
Hyderali kalathu seen😂😂😂,hyderali kalathu seen,Hyderali Kalaathhu seen,Hyderali Kalaathhu seen,Neutral
ஹீரோ தோல்பட்டை இறங்கியதற்கு காரணம் மாறனால் தெரிந்து விட்டது.,ஹர தலபடட இறஙகயதறக கரணம மறனல தரநத வடடத,Hara head,Hara head,Neutral
😂😂😂😂😂,,,,Neutral
படத்தோட நேரம் எவ்வளவு  3. மணி 20.நிமிசம்மா அடங்ககேப்ப 😱😱😱,படததட நரம எவவளவ மண நமசமம அடஙககபப,How much of a picture of the image,How much of a picture of the image,Positive
கடைசில போட்டு முடுச்சிட்டாயே தல 😂,கடசல படட மடசசடடய தல,Kadala,Kadala,Neutral
நல்லா இருக்கா இல்லையா அத மட்டும் சொல்லுயா வல வலனு இழுத்துக்கிட்டு,நலல இரகக இலலய அத மடடம சலலய வல வலன இழததககடட,Welfare variety,Welfare variety,Neutral
Thanks for saving my 200 😅,thanks for saving my,thanks for saving my,thanks for saving my,Positive
நீங்க புடுங்கறவன் ஆணிஎல்லாமே தேவையில்லத ஆணி தான் நீங்க பண்ற ஸ்கோர்ஸ்க்கு விளம்பர படுத்துறீங்களே அதுவே தேவை இல்லாத ஒன்றுதான் இதுக்கு SBO சைக்கோ சங்கர் வேற பணம் புடுங்குறது விளம்பர படுத்திட்டு இருக்கான் அவன் சேனல்ல,நஙக படஙகறவன ஆணஎலலம தவயலலத ஆண தன நஙக பணற ஸகரஸகக வளமபர படததறஙகள அதவ தவ இலலத ஒனறதன இதகக sbo சகக சஙகர வற பணம படஙகறத வளமபர படததடட இரககன அவன சனலல,"He is the only one who has a copy of the image of the company, and the company is a resource of the company.",He is the only one who has a copy of the image of the company and the company is a resource of the company,Neutral
"Dubbing is a word, dupping is an emotion",dubbing is a word dupping is an emotion,dubbing is a word dupping is an emotion,dubbing is a word dupping is an emotion,Neutral
03hrs 21mins (200mins) ungaluku bore adikala nah padam commercial success than🏆💪💥,hrs mins mins ungaluku bore adikala nah padam commercial success than,Hrs Mins Mins Ungaluku Bore Adikala Nah extinguished commercial success than,Hrs Mins Mins Ungaluku Bore Adikala Nah extinguished commercial success than,Positive
புதுசு புதுசா இருக்கு நைனா 😂😂😂,பதச பதச இரகக நன,Ghatsa,Ghatsa,Neutral
Mooka padam da  blue sattai,mooka padam da blue sattai,Mooka goes out da Blue Sattai,Mooka goes out da Blue Sattai,Neutral
Pushpa 1: The Rise <br>Pushpa 2: The Rule<br>Pushpa 3: The Rampage <br>Pushpa 4: The Salvage <br>Pushpa 5: The Carnage <br>Pushpa 6: The Damage <br>Pushpa 7: The Redemption <br>Pushpa 8: The infinity <br>Pushpa 9: The end game <br>Pushpa 10: The restart <br><br>😅😅 Ipdiye pannidu irukaa,pushpa the rise brpushpa the rulebrpushpa the rampage brpushpa the salvage brpushpa the carnage brpushpa the damage brpushpa the redemption brpushpa the infinity brpushpa the end game brpushpa the restart brbr ipdiye pannidu irukaa,pushpa the rise brpushpa the rulebrpushpa the rampage brpushpa the salvage brpushpa the carnage brpushpa the damage brpushpa the redemption brpushpa the infinity brpushpa the end game brpushpa the restart brbr ipdiye pannidu irukaa,pushpa the rise brpushpa the rulebrpushpa the rampage brpushpa the salvage brpushpa the carnage brpushpa the damage brpushpa the redemption brpushpa the infinity brpushpa the end game brpushpa the restart brbr ipdiye pannidu irukaa,Negative
Sbo😂😂🎉🎉,sbo,SBO,SBO,Neutral
Vazhai pottukali mathiri caste movie than pidikuma?,vazhai pottukali mathiri caste movie than pidikuma,Vazhai Potutkali Mathiri Caste Movie Than Holder,Vazhai Potutkali Mathiri Caste Movie Than Holder,Neutral
